name,loan_type,loan_duration_category,description,eligibility,maximum_loan_amount,minimum_loan_amount,funding_amount,interest_rate,repayment_period,age_criteria,income_criteria,contact,application_url,source,data_quality_score,scrape_date,deadline,url,special_benefits,bank_name,website_url,loan_product_name,bank_code,contact_info,documents_required
Interest-Free Student Loan Scheme,Government Loan,Unknown,"Government provides interest-free loan to study degree programs approved by Ministry. Students may obtain interest-free stipend loan up to Rs. 300,000/- for daily expenses.","* Completed G.C.E. (A/L) Examination in 2022, 2023, or 2024 * Obtained simple (S) passes for all three subjects (not exceeding 3 sittings) * Minimum 30 marks in Common General Test (any sitting, max 3 sittings) * Minimum simple (S) pass in General English (A/L) or English Language (O/L) * Age 25 years or below * Enrolling in approved Degree Awarding Institute (DAI) * Eligible for government-approved degree programs of high market demand * Stipend loan up to Rs. 300,000/- available for living exp...",N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,"Director (Student Loans), +94-11-2879724, studentloans@mohe.gov.lk",https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.074172,N/A - Ongoing scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: Sri Lanka Institute of Information Technology,DAI Related,Unknown,Degree Awarding Institute - Code: SLIIT,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077498,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: National School of Business Management,Bank Loan,Unknown,Degree Awarding Institute - Code: NSBM,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077523,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: CINEC Campus (Pvt) Ltd,DAI Related,Unknown,Degree Awarding Institute - Code: CINEC,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077533,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: Sri Lanka Institute of Buddhist Academy,NSB Loan,Unknown,Degree Awarding Institute - Code: SIBA,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077540,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: Institute of Chartered Accountants of Sri Lanka,DAI Related,Unknown,Degree Awarding Institute - Code: ICASL,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077547,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: Horizon College of Business and Technology (Pvt) Ltd,DAI Related,Unknown,Degree Awarding Institute - Code: HORIZON,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077553,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: KIU Campus (Pvt) Ltd,DAI Related,Unknown,Degree Awarding Institute - Code: KIU,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077559,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: SLT Campus (Pvt) Ltd,DAI Related,Unknown,Degree Awarding Institute - Code: SLTC,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077564,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Approved DAI: SAEGIS Campus (Pvt) Ltd,DAI Related,Unknown,Degree Awarding Institute - Code: SAEGIS,Must be enrolled in this DAI to access the Interest-Free Student Loan Scheme,N/A,N/A,Rs. 600000,N/A,N/A,N/A,N/A,MOHE Student Loan Scheme,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,MOHE Student Loan Scheme,100.0,2025-11-23T17:03:58.077571,N/A - Ongoing,https://www.mohe.gov.lk/index.php?option=com_content&view=category&layout=blog&id=48&Itemid=331&lang=en,N/A,N/A,N/A,N/A,N/A,N/A,N/A
